district,name,Funding Source,variable,value
12,Nicole Poore,LIHTC,Average Allocation per 100 Persons,0
9,Jack Walsh,LIHTC,Average Allocation per 100 Persons,0
5,Kyle Evans Gay,LIHTC,Average Allocation per 100 Persons,0
8,David P. Sokola,LIHTC,Average Allocation per 100 Persons,0
0,0,LIHTC,Average Population per Tax Credit Unit,0
1,Sarah Mcbride,LIHTC,Average Population per Tax Credit Unit,172.52307692307693
10,Stephanie L. Hansen,LIHTC,Average Population per Tax Credit Unit,446.04716981132077
11,Bryan Townsend,LIHTC,Average Population per Tax Credit Unit,803.3833333333333
13,Marie Pinkney,LIHTC,Average Population per Tax Credit Unit,402.45
14,Kyra Hoffner,LIHTC,Average Population per Tax Credit Unit,912.0925925925926
15,Dave Lawson,LIHTC,Average Population per Tax Credit Unit,298.126582278481
16,Eric Buckson,LIHTC,Average Population per Tax Credit Unit,1332.1666666666667
17,Trey Paradee,LIHTC,Average Population per Tax Credit Unit,233.53333333333333
18,Dave Wilson,LIHTC,Average Population per Tax Credit Unit,476.3921568627451
19,Brian G. Pettyjohn,LIHTC,Average Population per Tax Credit Unit,2030.25
2,Darius J. Brown,LIHTC,Average Population per Tax Credit Unit,213.4142857142857
20,Gerald W. Hocker,LIHTC,Average Population per Tax Credit Unit,276.39325842696627
21,Bryant L. Richardson,LIHTC,Average Population per Tax Credit Unit,1448.0294117647059
3,S. Elizabeth Lockman,LIHTC,Average Population per Tax Credit Unit,71.58306709265176
6,Russ Huxtable,LIHTC,Average Population per Tax Credit Unit,1516.0
4,Laura Sturgeon,LIHTC,Average Population per Tax Credit Unit,0
7,Spiros Mantzavinos,LIHTC,Average Population per Tax Credit Unit,0
12,Nicole Poore,LIHTC,Average Population per Tax Credit Unit,0
9,Jack Walsh,LIHTC,Average Population per Tax Credit Unit,0
5,Kyle Evans Gay,LIHTC,Average Population per Tax Credit Unit,0
8,David P. Sokola,LIHTC,Average Population per Tax Credit Unit,0
